hmode,drift,gamma,n_stages,BaryCDI_l2_mean,Linear_l2_mean,FFD_l2_mean,BaryCDI_linf_max,Linear_linf_max,FFD_linf_max,BaryCDI_w2_mean,Linear_w2_mean,FFD_w2_mean,BaryCDI_offline_s,BaryCDI_recon_s,BaryCDI_total_s,FFD_offline_s,FFD_recon_s,FFD_total_s,Linear_recon_s,interp_setup_s,interp_s,ipfp_res,ipfp_converged,ipfp_iters,ipfp_time_s,gate_T,gate_S,disp_T,den_T_max,path
eig,oblique,2e-06,17,0.003419607220279761,0.008375427552293764,nan,0.09235862612545453,0.12418022155761754,nan,0.023571446771201023,0.04863431468896161,nan,196.36492789210752,0.3004400311037898,196.6653679232113,nan,nan,nan,0.0010270490311086178,0.0011171749792993069,0.302586839068681,0.0010957476529256382,False,7344,196.36492789210752,4608,3866,0.007020405745562385,1.0079089080041687e+250,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin2e-06
eig,oblique,5e-06,16,0.003368327440977581,0.008375427552293764,nan,0.09234566546688328,0.12418022155761754,nan,0.024052047006194604,0.04863431468896161,nan,175.09209327300778,0.27403912899899296,175.36613240200677,nan,nan,nan,0.0008356200123671442,0.0010734379757195711,0.275950520997867,0.000186480158959057,False,6344,175.09209327300778,5112,4016,0.007695033052793248,4.732713805150081e+253,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin5e-06
eig,oblique,1e-05,15,0.003316559282089814,0.008375427552293764,nan,0.092329387374539,0.12418022155761754,nan,0.024827567224323596,0.04863431468896161,nan,161.08818611921743,0.22633715393021703,161.31452327314764,nan,nan,nan,0.0008888603188097477,0.0010688118636608124,0.22829662822186947,0.0002053187672004242,False,5344,161.08818611921743,5338,4098,0.008362683544809995,1.0214002006932245e+257,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin1e-05
eig,oblique,2e-05,14,0.003172914136445723,0.008375427552293764,nan,0.08192292356344844,0.12418022155761754,nan,0.027347571748029296,0.04863431468896161,nan,150.09012015536427,0.25415854807943106,150.3442787034437,nan,nan,nan,0.0010315747931599617,0.001079627312719822,0.25627170223742723,1.4820464571130287e-05,False,4344,150.09012015536427,5626,4135,0.0092393470992042,7.436252160495529e+247,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin2e-05
eig,oblique,5e-05,13,0.003122037280841721,0.008375427552293764,nan,0.0817476241948043,0.12418022155761754,nan,0.028663089240927968,0.04863431468896161,nan,134.198728554009,0.2280965819954872,134.42682513600448,nan,nan,nan,0.000848159019369632,0.0010715770185925066,0.23001790000125766,8.973677267931635e-08,True,3344,134.198728554009,5830,4115,0.010783573601076488,3.1681031889132726e+213,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin5e-05
eig,oblique,0.0001,12,0.0031241778458227618,0.008375427552293764,nan,0.08240788873781746,0.12418022155761754,nan,0.028957730564335926,0.04863431468896161,nan,122.02459251508117,0.27612441312521696,122.30071692820638,nan,nan,nan,0.0008785040117800236,0.001076231710612774,0.278081342112273,9.476542572883773e-08,True,2377,122.02459251508117,6319,4160,0.012235179521932248,1.4160813796972188e+187,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.0001
eig,oblique,0.0002,11,0.0031455971425146667,0.008375427552293764,nan,0.08337601418709895,0.12418022155761754,nan,0.029301045771962447,0.04863431468896161,nan,112.5111746690236,0.2909459271468222,112.80212059617043,nan,nan,nan,0.0010171430185437202,0.0010701739229261875,0.2930352371186018,9.517725629848428e-08,True,1569,112.5111746690236,6795,4190,0.013737951074477209,4.430283435501047e+160,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.0002
eig,oblique,0.0005,10,0.003229465354493524,0.008375427552293764,nan,0.10584855096333357,0.12418022155761754,nan,0.030052694297153484,0.04863431468896161,nan,104.254857619002,0.22451381900464185,104.47937143800664,nan,nan,nan,0.0008419500081799924,0.0010774840193334967,0.22643490601330996,7.167210469560814e-08,True,998,104.254857619002,7096,3991,0.015053984502664233,2.0174202144527217e+125,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.0005
eig,oblique,0.001,9,0.003368956424366449,0.008375427552293764,nan,0.12938542313658452,0.12418022155761754,nan,0.03082853571736396,0.04863431468896161,nan,100.56159982504323,0.22683143382892013,100.78843125887215,nan,nan,nan,0.0008872770704329014,0.0010772054083645344,0.2287978590466082,9.010406643028546e-08,True,704,100.56159982504323,7015,3661,0.0147122935349985,4.628728835731236e+98,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.001
eig,oblique,0.002,8,0.0036251313238775096,0.008375427552293764,nan,0.153969435996274,0.12418022155761754,nan,0.031605312880864586,0.04863431468896161,nan,97.88878896879032,0.3034877688623965,98.19227673765272,nan,nan,nan,0.0010356009006500244,0.0010728267952799797,0.3055987609550357,5.981667072774144e-08,True,484,97.88878896879032,6486,3145,0.012605538366794804,7.085018288675319e+72,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.002
eig,oblique,0.005,7,0.004331375208506607,0.008375427552293764,nan,0.18204656749486858,0.12418022155761754,nan,0.03392218806611662,0.04863431468896161,nan,93.10377873698599,0.22788461699383333,93.33166335397982,nan,nan,nan,0.0008343280060216784,0.0010701340215746313,0.22979092202149332,7.951203429001907e-08,True,302,93.10377873698599,4770,2160,0.008798614703437267,1.6171660120191928e+43,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.005
eig,oblique,0.01,6,0.005491170761799289,0.008375427552293764,nan,0.19352920793733697,0.12418022155761754,nan,0.043757266671472075,0.04863431468896161,nan,88.49869039515033,0.2763593182899058,88.77504971344024,nan,nan,nan,0.0008871592581272125,0.001073399093002081,0.2783218678086996,9.971950420961662e-08,True,188,88.49869039515033,3089,1259,0.007093062208197811,5.529854068192778e+25,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.01
eig,oblique,0.02,5,0.00741026602848214,0.008375427552293764,nan,0.19882650395804546,0.12418022155761754,nan,0.07362662509132988,0.04863431468896161,nan,81.11079891817644,0.2963293478824198,81.40712826605886,nan,nan,nan,0.001058506779372692,0.0010722968727350235,0.29846194479614496,5.8006621284079074e-08,True,110,81.11079891817644,927,420,0.0037466222339787958,24012678984645.363,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.02
eig,oblique,0.05,4,0.011400756851074653,0.008375427552293764,nan,0.30240211771469117,0.12418022155761754,nan,0.15313488597757582,0.04863431468896161,nan,72.61898068300798,0.25268112699268386,72.87166181000066,nan,nan,nan,0.0008487099839840084,0.001077394001185894,0.25460962500073947,6.866314805620277e-08,True,61,72.61898068300798,0,0,0.03580453139761361,12346.271888765657,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.05
eig,oblique,0.1,3,0.015468307950475553,0.008375427552293764,nan,0.35731382153705527,0.12418022155761754,nan,0.22554864176861678,0.04863431468896161,nan,62.669508582912385,0.26134726218879223,62.93085584510118,nan,nan,nan,0.0008794660679996014,0.0010924278758466244,0.2633211389183998,5.0724274558433535e-08,True,35,62.669508582912385,0,0,0.10768131605314428,4.508235999033297,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.1
eig,oblique,0.2,2,0.01995707311301368,0.008375427552293764,nan,0.38359807306930316,0.12418022155761754,nan,0.29897985071838074,0.04863431468896161,nan,48.655149369034916,0.27827944001182914,48.933428809046745,nan,nan,nan,0.001053899060934782,0.001177285797894001,0.28051565308123827,9.4008949069746e-08,True,18,48.655149369034916,0,0,0.23367727294586493,1.7526855125126466,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.2
eig,oblique,0.5,1,0.025614612445569843,0.008375427552293764,nan,0.39588514017907084,0.12418022155761754,nan,0.3022603928118099,0.04863431468896161,nan,32.27045203698799,0.25549858299200423,32.525950619979994,nan,nan,nan,0.0008427110151387751,0.0011590470094233751,0.25750391601468436,3.732103293074829e-09,True,8,32.27045203698799,0,0,0.46689717440571865,1.206451243224273,outputs/Mach_interpolation/diamond/iso/hessian/eig/drift_oblique/gmin0.5
